replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
961,0,0,0,0,0,1,1
962,1,1,0,0,0,0,0
963,6,6,0,0,1,2,2
964,9,9,0,0,3,9,7
965,3,3,0,0,0,3,2
966,3,3,0,0,0,3,2
967,3,3,0,0,0,2,1
968,2,2,0,0,0,1,1
969,0,0,0,0,0,0,0
970,2,2,0,0,0,2,2
971,19,9,0,0,3,10,8
972,2,2,0,0,0,1,1
973,2,2,0,0,1,4,2
974,2,2,0,0,0,0,0
975,16,16,0,0,3,9,8
976,4,4,0,1,2,5,4
977,1,1,0,0,0,0,0
978,3,3,0,0,1,1,1
979,1,1,0,0,0,3,2
980,4,4,0,0,0,1,1
981,8,8,0,0,1,4,3
982,2,2,0,0,1,1,1
983,3,3,0,0,2,1,1
984,4,4,0,0,3,4,3
985,5,5,0,0,3,6,5
986,3,3,0,0,1,3,3
987,2,2,0,0,0,1,1
988,1,1,0,0,0,1,1
989,2,2,0,0,0,2,2
990,2,2,0,0,0,1,1
991,3,3,0,0,2,3,2
992,5,5,0,0,0,3,2
993,0,0,0,0,0,0,0
994,2,2,0,0,1,3,2
995,2,2,0,0,0,3,2
996,1,1,0,0,0,0,0
997,1,1,0,0,0,0,0
998,4,4,0,0,1,4,3
999,0,0,0,0,0,0,0
